Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
AQDIRJD4,journalArticle,2025,"Maffeis, Angelo",Cinquant'anni di «Teologia»,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=8a449271-51b3-33b1-829d-50e4f2b4a2f7,,2025-03-01,2025-07-21 15:34:20,2025-10-13 08:20:44,2025-10-12 23:11:50,3-5,,1,50,,Teologia,,,,,,,,ita,,,,185851662,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP9EGEA9,journalArticle,2025,"Routhier, Gilles",Cristianesimo urbano: una questione di ricerca,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=cd97829d-c980-37c6-aaa5-4a322877d1e3,"This article, primarily methodological in nature, investigates the evolution of theological reflection on the city, focusing on the crucial importance of the question that introduces the research. Starting from a critical analysis of the Urban Theology Group's approach and comparing it with the magisterial production (in particular, the Second Vatican Council and the Popes Paul VI and Francis), the author highlights four methodological thresholds to be crossed in order to adequately investigate the relationship between the Church (Christianity) and the city: 1) assuming the real city; 2) integrating the contribution of human sciences and theology; 3) overcoming the antagonistic vision between the city and the Church (Christianity); 4) recognizing the active role of Christians in the transformation of urban culture. In order to open new research perspectives, the article concludes with the provocation to study the social changes triggered by the Christian presence in cities.",2025-03-01,2025-07-21 15:51:26,2025-10-13 08:20:26,2025-10-12 23:11:50,33-55,,1,50,,Teologia,Cristianesimo urbano,,,,,,,ita,,,,185851666,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8MHA3QJG,journalArticle,2025,,"Bibliografia sul ""cristianesimo urbano""",Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=abf034ff-2f28-3cca-898b-26a1960a4d2f,,2025-03-01,2025-10-12 23:11:50,2025-10-13 08:18:59,2025-10-12 23:11:50,105-121,,1,50,,Teologia,,,,,,,,fre,,,,185851670,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J9V9S34P,journalArticle,2025,,Cristianesimo urbano Introduzione al dossier,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=3b3ee0d8-9f35-3a90-b613-b76d950ca7e8,,2025-03-01,2025-10-12 23:11:50,2025-10-13 08:18:47,2025-10-12 23:11:50,15-16,,1,50,,Teologia,,,,,,,,ita,,,,185851664,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKEZ83SZ,journalArticle,2012,"Brambilla, Franco Giulio",La ricerca faticosa di una via per il concilio: Giovanni XXIII e Montini-Paolo VI,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=50383025-eb2d-3560-9a1d-39a8914ee1aa,"The article reconstructs the crucial speeches of Card. Montini at the “beginning of the Council” (before the opening section and during the First Period) together with his various comments which above all accompanied the year 1962 – exactly fifty years ago – among which the pastoral Let’s Think Of The Council stands out for its high inspiration. By these ones it is possible to retrace Card. Montini’s “track” to that ecumenical assembly. The Cardinal of Milan felt the Council at its rising moment like “the Spirit’s event”. While calling up those thrilling and at the same time excited moments of the Church life, which stood out in Milan Archbishop Montini’s last speech on the 5<sup>th</sup> December in the Council hall, we can hardly feel the Spirit’s breeze passing through. The watermark of the research is the contribution of Carlo Colombo, Paul VI’s future theologian, to Montini’s preparation for the Council.",2012-09-01,2025-07-21 15:44:19,2025-10-13 08:18:20,2025-10-12 22:45:18,335-360,,3,37,,Teologia,La ricerca faticosa di una via per il concilio,,,,,,,ita,,,,120175357,EBSCOhost,,Publisher: Glossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82DIREWP,journalArticle,2012,"Chiodi, Maurizio",La libertà fra Evangelo e fede Uno sguardo teologico-morale,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=0f84192a-7877-3057-860f-9cfa21b49413,"The present article points out the core of the sense structure of any anthropological experience, characterized by the “necessity” of freedom which is actually forming it – a phenomenological a priori – (1) and the sense structure of the believing experience, in its anthropological implications, referred to its relationship with the Gospel event (christologicaltheological) (2), as this is the accomplishment form, subsequently recognizable as anthropological truth. In order to this it is necessary to overcome a relationship of extraneity between theology and philosophy, where for one reason the philosophic reflection may be deprived of any theological profile and for ano - ther reason theology may be excluded from a universal anthropological importance and therefore deprived of a truthmaking meaning. The aim is to articulate a complete theological meditation, which, inside itself, may work out a phenomenological interpretation of human experience by showing its radical quality of harbinger and promise, that waits to be fulfilled as it is.",2012-06-01,2025-07-21 15:41:33,2025-10-13 08:18:12,2025-10-12 22:44:39,240-269,,2,37,,Teologia,,,,,,,,ita,,,,120179073,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1oGlQmXlovALs9RnutGEzJonxPRCzgCTL/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WXRXXMN6,journalArticle,2012,"Gusmini, Giovanni",L’«unica e semplice verità»: la nominazione di Dio tra Dionigi Areopagita e Niccolò Cusano,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=24c7c09d-2552-3a49-a540-f4e2dc2b88fe,"This article intends to introduce Nicolas of Cusa (1401-1464) as a representative figure of theology, as it was intended in the 15th century. In close dialogue with his sources (in particular the Christian neoplatonic Dionysius the Areopagite), the famous German Cardinal elaborates a peculiar model of theology, based upon both the idea of unkowability and ineffability of God, on the one hand, and the conjectural character of human knowledge, on the other hand. This leads to a different logic (compared with the Aristotelian one), built on the coincidentia oppositorum, and to a different idea of truth, which shall be received, more than conquered by human mind. One of the most remarkable results of Nicolas’ perspective is certainly the central role he tries to grant Christ and his story in his system. Nevertheless, the privileged role played by the neoplatonic and dionysian idea of One, and of a unique and simple truth, makes Nicolas underestimate the importance of alterity in the concept of God, in his relationship with man and the world, as in the genesis of human identity and knowledge.",2012-06-01,2025-07-21 15:34:20,2025-10-13 08:18:05,2025-10-12 22:43:20,198-239,,2,37,,Teologia,L’«unica e semplice verità»,,,,,,,ita,,,,120177566,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1CU_zHhgImkfL110-XSnGtZKJPcbQzclQ/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2SRPWGH,journalArticle,2012,"Rota, Giovanni",Il Concilio Vaticano II e la Tradizione: i punti nodali di un dibattito,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=eb6dbab8-f154-3dc9-9c49-40e9c98236f6,"The question of Tradition was one of the “high lights” which determined the whole development of the Second Vatican Council. To retrace the various components we followed an inquiry marked by three moments: in the first step we introduced the decisions taken by the Council of Trent in its Sacrosancta decree in opposition to the Sola Scriptura Lutheran one; in the second step we dealt about the editing story, the contents and the “cores” of the debate about the second chapter of Dei Verbum of the Second Vatican about the theme of Tradition; eventually we tried to discover what the terms of the problem and the ways towards a possible solution of its might be.",2012-09-01,2025-07-21 15:34:20,2025-10-13 08:18:01,2025-10-12 22:45:18,415-449,,3,37,,Teologia,Il Concilio Vaticano II e la Tradizione,,,,,,,ita,,,,120175539,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1wvneOVWpzx5o7zmSaZvgD3OG3Xcvntzu/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCRKTYPF,journalArticle,2012,"Scola, Angelo Card",A 50 anni dall’apertura del Concilio Vaticano II,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=14a80d55-c73f-398a-b578-bd86734d72b0,,2012-09-01,2025-10-12 22:45:20,2025-10-13 08:17:55,2025-10-12 22:45:19,331-334,,3,37,,Teologia,,,,,,,,ita,,,,120175312,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1IuY5Reynn0PqXhT8t0ziXScJiubxcJCn/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS6UVDA5,journalArticle,2012,"Sequeri, Pierangelo",Se un teologo diventa vescovo,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=62b132ef-c68d-3853-8e21-2f392aae320e,,2012-06-01,2025-07-21 15:42:36,2025-10-13 08:17:50,2025-10-12 22:44:39,171-175,,2,37,,Teologia,,,,,,,,ita,,,,120177536,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/18Kgu0AsyA2qPf7ZuFO5sb0HFD1Ks1Nie/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4VBY2FNF,journalArticle,2012,"Seveso, Bruno",Vaticano II. L’indole pastorale,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=5cf3437e-486d-386a-88f5-9af7837d5703,"The “pastoral” connotation, authoritatively suggested by John XXIII for the Second Vatican Council, is not without problems. At that time the questions were caused by the fact that a “pastoral” character was placed in the role of paradigm of council works, which was unusual to it according to the dominant ecclesiastic mentality. Bewilderment and expectations moved normalization will and renewal intents. The article retraces the remarkable passages of the dispute which took place during the council and after it in the sign of “pastoral nature” to be honored. The unavailability of an adequate and shared thematization of the term “pastoral” is its stamp. During our final comments pastoral theology is suggested as a character of a pertinent and proper thought to reflect correctly and substantially about the “pastoral” theme.",2012-09-01,2025-07-21 15:34:20,2025-10-13 08:17:39,2025-10-12 22:45:19,383-414,,3,37,,Teologia,,,,,,,,ita,,,,120175479,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1PvgzUjEu6Yh74wNrfaUl-s6mEfvt6-cy/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3KFEJ8XR,journalArticle,2012,"Vergottini, Marco","Contro la «mitizzazione» del concilio: paraconcilio, metaconcilio e anticoncilio",Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=6664fcb0-ee18-3296-b80b-1b4dfca402c6,,2012-09-01,2025-07-21 15:41:33,2025-10-13 08:17:29,2025-10-12 22:45:18,450-478,,3,37,,Teologia,Contro la «mitizzazione» del concilio,,,,,,,ita,,,,120175540,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1kvHIrb4DdLOkUcY0uuuxAGOlIHk--gvk/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCB6VPYH,journalArticle,2013,"Zanchi, Goffredo",Sull’intuizione giovannea,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=383eab3f-dd58-3db7-9c55-d79701476439,"The Second Vatican Council convocation is exclusively due to John XXIII’s initiative. As this one has been differently considered, the author thinks it was caused by the perception of the limits of Tridentine Church model as it had been accomplished for the last four centuries. The issues put by Modernity and Ecumenism had remained unsolved. The necessity of a positive reply demanded the formulation of a more appropriate theological method. Such requests were felt by John XXIII, as it is shown in his inaugural address at Second Vatican Council: Gaudet Mater Ecclesia. There Pope John pointed out the aims to be achieved to the Council assembly: updating, the change of the church style and the leap forward of a new doctrinal understanding of the Gospel message which should be expressed in a way more adequate to contemporary human beings. This project was not due to improvisation, but it was a ripe fruit of a life rich of meaningful experience and of a uniquely evangelic spirituality. Looking at those aims John XXIII was able to gather the majority of the bishops about a common resolution.",2013-03-01,2025-07-21 15:34:20,2025-10-13 08:16:57,2025-10-12 22:48:15,85-96,,1,38,,Teologia,,,,,,,,ita,,,,120178504,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1Hps6Ucn7-x-KkcXs19AsNMgAwY0jUCb6/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8RL2H2QV,journalArticle,2013,"Xeres, Saverio",La storiografia sul Vaticano II. Prospettive di lettura e questioni di metodo,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=20ce6a01-6b77-3b8c-b656-e6873a4752a3,"We examine here three main sources of historiographical reconstructions of Second Vatican Council, in its global meaning: besides the essays included in some handbooks of the history of the Church and of the Councils, some works expressly issued as “affairs” of the 21<sup>st</sup> Ecumenical Council. Then we retrace to some main questions rising from that analysis. First of all, the possibility itself of historically dealing about an event still too near in time and about which a historical opinion still often tends to conform to the Church one; in the second place, whether and in what sense we may ascribe the value of a “historical turning point” to Second Vatican Council.",2013-03-01,2025-07-21 15:42:36,2025-10-13 08:16:35,2025-10-12 22:48:16,59-84,,1,38,,Teologia,,,,,,,,ita,,,,120178498,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1sSkx24zoiwzzFLh_ZoZ9bErUTqSr0ZS0/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y65GQFFV,journalArticle,2013,"Sequeri, Pierangelo",Editoriale,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=ad8365c7-1e3a-32f9-b366-fbeb7f6e0c6a,,2013-03-01,2025-10-12 22:48:18,2025-10-13 08:15:56,2025-10-12 22:48:16,3-5,,1,38,,Teologia,,,,,,,,ita,,,,120178088,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1VtfhTUAPdBYfeal-Il_9LMhTtFW9WVH8/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLA7M9NV,journalArticle,2013,"Prodi, Paolo",Profezia e utopia nella storia del cristianesimo occidentale,Teologia,,1120-267X,,https://research.ebsco.com/linkprocessor/plink?id=6945f659-55b9-3368-9210-0b98f9b8189f,"Prophecy and utopia are historically very different kinds of reality: they have in common the condition of being excluded from temples and halls of power. Prophecy is an essential element of the history of human salvation, as a way to pass on the “voice” of God, a transcendent one, who opposes the reality of a power which dominates the world, and which is disclosed in the Old Testament prophets and established by the mission committed by Christ to the Church. Moreover it has faded away through the coming of modernity and in some way it has broken up into two different sides of reality: from one part, by secularizing, it has become utopia and a revolutionary project as a vision of an ideal world, a “different” one in comparison with the existing one which must be fought and in any case transformed; to the other one prophecy has been substituted, inside the Church, by the “vision” which is still whispered in intimacy outside a historical context and which gets its validity either from the support of official Church or from holiness models worked out and approved by the Church itself.",2013-03-01,2025-07-21 15:42:36,2025-10-13 08:15:35,2025-10-12 22:48:16,6-25,,1,38,,Teologia,,,,,,,,ita,,,,120178446,EBSCOhost,,Publisher: Glossa,,https://drive.google.com/file/d/1ReBptsaF7HFf_eKl-WgX27J0Owq14e_f/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V8PBDR5H,journalArticle,2008,"Marguerat, Daniel",Quattro vangeli per quattro lettori,Teologia,,1120-267X,,,,2008,2016-11-27 23:15:18,2025-10-12 13:37:43,,14-36,,1,33,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM439M5L,journalArticle,2017,"Fumagalli, Aristide","L'amore in Amoris Laetitia Eros, philia, agape",Teologia,,1120267X,,http://search.ebscohost.com/login.aspx?direct=true&db=rlh&AN=123748400&site=ehost-live,"In his post-synodal apostolic exhortation Amoris laetitia, Pope Francis turns his attention to the subject of married love, with the aim of gathering the truth of this state in the everyday life of the couple. True married love should reflect the love of Christ, as illustrated by Paolo in his famous Hymn in 1Cor 13. It is, in fact, the light emanating from the love of Christ which in turn enables conjugal love, compounding the three forms which love takes: eros: desire; philia: kindness and consideration; and agape: self-giving to one's spouse. The article first considers the distinctive aspects of these three components - erotic desire, kind friendship and self-giving love - and then reviews them in the light of their interaction and integration. (English)",2017-06,2017-11-08 22:58:37,2025-10-12 13:37:26,2017-11-08 22:58:37,210-220,,2,42,,Teologia,,,,,,,,,,,,,EBSCOhost,,,,https://drive.google.com/file/d/1nYO1geaRJ8ZkBykyJ1DeK8Zqpyb1NsEm/preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A9R8NFMX,journalArticle,2023,"Giovannini, Devid",Liturgia e atto di fede: Il contributo di Joseph Ratzinger,Teologia,,1120-267X,,,,2023,2025-07-21 15:51:26,2025-07-21 15:51:26,,91-111,,1,48,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWFZ3CE8,journalArticle,1999,"Bertuletti, Angelo","""Fides et ratio"": L'intenzione enunciativa dell'Enciclica e il suo modello concettuale",Teologia,,1120-267X,,,,1999,2025-07-21 15:51:26,2025-07-21 15:51:26,,289-295,,3,24,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND9N9JJS,journalArticle,2020,"Micheletti, Mario","La problematica di ""Dio"" nell'orizzonte della filosofia analitica",Teologia,,1120-267X,,,,2020,2025-07-21 15:51:26,2025-07-21 15:51:26,,231-262,,2,45,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLL57Y65,journalArticle,2022,"Lauster, Jörg",Tendenze e sviluppi della teologia contemporanea in Germania,Teologia,,1120-267X,,,,2022,2025-07-21 15:51:26,2025-07-21 15:51:26,,665-682,,4,47,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QU6CE7GK,journalArticle,2023,"Crimella, Matteo",Nersēs Šnorhali maestro di preghiera,Teologia,,1120-267X,,,,2023,2025-07-21 15:51:26,2025-07-21 15:51:26,,555-576,,4,48,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8D4EB4L7,journalArticle,1979,"Colombo, Giuseppe","La nozione di ""esperienza"" nel magistero antimodernista",Teologia,,1120-267X,,,,1979,2025-07-21 15:51:26,2025-07-21 15:51:26,,297-313,,3,4,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMVNULUA,journalArticle,2000,"Manzi, Franco",Lo sguardo di Gesù: Linee per una visione cristologica della creazione,Teologia,,1120-267X,,,,2000,2025-07-21 15:51:26,2025-07-21 15:51:26,,257-284,,3,25,,,,,,,,,,Italian,,,,,,,,,,,,,"Pagazzi, Giovanni Cesare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U9XCZUD8,journalArticle,2005,"Brambilla, Franco Giulio",Teologia biblica e teologia sistematica: per continuare il dialogo,Teologia,,1120-267X,,,,2005,2025-07-21 15:51:26,2025-07-21 15:51:26,,283-296,,3,30,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBXXQ7BA,journalArticle,1999,"Segalla, Giuseppe","L'etica di Marco per le ""genti"": il vangelo di Gesù Cristo come ""metanoia""; nuovo modo di essere e di agire nel mondo",Teologia,,1120-267X,,,,1999,2025-07-21 15:51:26,2025-07-21 15:51:26,,14-71,,1,24,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3XYJQ2C7,journalArticle,2005,"Söding, Thomas",Teologia biblica e teologia sistematica: Presupposti e prospettive di un dialogo,Teologia,,1120-267X,,,,2005,2025-07-21 15:51:26,2025-07-21 15:51:26,,257-282,,3,30,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRNA2FSU,journalArticle,2008,"Bellani, Andrea","Carlo Colombo e la ""Nota praevia"": inediti",Teologia,,1120-267X,,,,2008,2025-07-21 15:51:25,2025-07-21 15:51:25,,248-284,,2,33,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8JUVIXU,journalArticle,2010,"Galli Della Loggia, Ernesto",Moderno e postmoderno: il travagliato rapporto del cristianesimo con la libertà,Teologia,,1120-267X,,,,2010,2025-07-21 15:51:25,2025-07-21 15:51:25,,549-562,,4,35,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28QZEFZQ,journalArticle,2010,"Vignolo, Roberto","La scrittura di Qohelet e la sua ricezione canonica alla luce della sua cornice editoriale (1,1-2.3; 12,8.9-14)",Teologia,,1120-267X,,,,2010,2025-07-21 15:51:25,2025-07-21 15:51:25,,184-221,,2,35,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7GEIZZ33,journalArticle,2018,"Manzi, Franco",Riflessione teologico-biblica sullo stile di discernimento ecclesiale negli Atti degli Apostoli,Teologia,,1120-267X,,,,2018,2025-07-21 15:51:25,2025-07-21 15:51:25,,411-441,,3,43,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5KSZKD6U,journalArticle,2018,"Trabucco, Giovanni","Metafisica, fenomenologia e teologia: Discutendo con Gabellieri",Teologia,,1120-267X,,,,2018,2025-07-21 15:50:57,2025-07-21 15:50:57,,171-182,,2,43,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4DCW26JG,journalArticle,2020,"Bonandi, Alberto",Dall'atto coniugale al matrimonio. Un passaggio e alcune conseguenze,Teologia,,1120-267X,,,,2020,2025-07-21 15:50:57,2025-07-21 15:50:57,,88-124,,1,45,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDZW24IJ,journalArticle,2020,"Chiodi, Maurizio","La cultura post-moderna come ""luogo"" e tempo del discernimento",Teologia,,1120-267X,,,,2020,2025-07-21 15:50:57,2025-07-21 15:50:57,,11-21,,1,45,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ANYNNBU,journalArticle,2021,"Montanari, Antonio",La solitudine cristiana: il travaglio e lo stile,Teologia,,1120-267X,,,,2021,2025-07-21 15:50:57,2025-07-21 15:50:57,,42-61,,1,46,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UVRX5C7G,journalArticle,2023,"Galimberti, Davide",La teologia filosofica di Claude Bruaire,Teologia,,1120-267X,,,,2023,2025-07-21 15:50:57,2025-07-21 15:50:57,,113-138,,1,48,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3UQQ6VNA,journalArticle,1997,"Segalla, Giuseppe",L'etica matteana fra comandamenti di Dio (Legge e Profeti) e comandamenti del Signore (Il Vangelo),Teologia,,1120-267X,,,,1997,2025-07-21 15:50:56,2025-07-21 15:50:56,,111-162,,2,22,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNQTJFJ,journalArticle,1998,"Chiodi, Maurizio",Eutanasia e modelli teorici in bioetica,Teologia,,1120-267X,,,,1998,2025-07-21 15:50:56,2025-07-21 15:50:56,,150-185,,2,23,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYUJCN9J,journalArticle,1999,"Manzi, Franco",Cristologia del sacrificio e ontologia della coscienza: Spunti di riflessione,Teologia,,1120-267X,,,,1999,2025-07-21 15:50:56,2025-07-21 15:50:56,,154-176,,2,24,,,,,,,,,,Italian,,,,,,,,,,,,,"Pagazzi, Giovanni Cesare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9WLE33ZY,journalArticle,1989,"Sequeri, Pierangelo","""Dare la vita"" ed ""essere sacrificato"". Il tema della singolarità cristologica nella prospettiva di R. Girard",Teologia,,1120-267X,,,,1989,2025-07-21 15:50:56,2025-10-23 22:15:58,,143-153,,2,14,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHWDFLIY,journalArticle,1996,"Segalla, Giuseppe",Dieci anni di Teologia (Biblica) del Nuovo Testamento (1985-1995) tra la ricerca di un'unità teologico-biblica e la deriva verso una pluralità storico-religiosa,Teologia,,1120-267X,,,,1996,2025-07-21 15:50:56,2025-07-21 15:50:56,,67-127,,1,21,,,,,,,,,,No linguistic content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTMTBS7Y,journalArticle,1998,"Segalla, Giuseppe",Ritualità cristologica ed esperienza spirituale nel Vangelo secondo Giovanni,Teologia,,1120-267X,,,,1998,2025-07-21 15:50:56,2025-07-21 15:50:56,,330-362,,3,23,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E947GFUG,journalArticle,1999,"Colombo, Paolo","La recezione del percorso storico della filosofia nell'enciclica ""Fides et ratio""",Teologia,,1120-267X,,,,1999,2025-07-21 15:50:56,2025-07-21 15:50:56,,304-319,,3,24,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3YLHHKHZ,journalArticle,1999,"Bonandi, Alberto",Modelli di teologia morale nel ventesimo secolo (1),Teologia,,1120-267X,,,,1999,2025-07-21 15:50:56,2025-07-21 15:50:56,,89-138,,1,24,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3QYP6XWD,journalArticle,2004,"Colombo, Giuseppe","""Ecclesia de Eucharistia"": La lettera enciclica di Giovanni Paolo II",Teologia,,1120-267X,,,,2004,2025-07-21 15:50:56,2025-07-21 15:50:56,,404-417,,4,29,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
